,Varianta,Varianta cumulata,Procent varianta,Procent cumulat
Comp1,5.490842518988792,5.490842518988792,39.22030370706277,39.22030370706277
Comp2,1.8442033553491788,7.335045874337971,13.17288110963698,52.39318481669975
Comp3,1.5061894644558873,8.841235338793858,10.758496174684902,63.15168099138465
Comp4,1.174938717067654,10.016174055861512,8.392419407626093,71.54410039901074
Comp5,1.1288751568467408,11.145049212708253,8.063393977476712,79.60749437648745
Comp6,0.7787731411627782,11.923822353871032,5.56266529401984,85.17015967050729
Comp7,0.5481491091794826,12.471971463050513,3.9153507798534437,89.08551045036073
Comp8,0.5207884740480226,12.992759937098537,3.7199176717715874,92.80542812213231
Comp9,0.35437233603004464,13.347132273128581,2.5312309716431742,95.33665909377548
Comp10,0.25469676097598554,13.601829034104567,1.8192625783998955,97.15592167217538
Comp11,0.18858927689375085,13.790418310998318,1.347066263526791,98.50298793570217
Comp12,0.1251967766231061,13.915615087621424,0.8942626901650429,99.39725062586722
Comp13,0.05158964319616511,13.967204730817588,0.36849745140117907,99.7657480772684
Comp14,0.0327952691824217,14.00000000000001,0.23425192273158335,99.99999999999999
